f,76.02,0.56,0.37,0.44,0.47,24.2,0.95,1.15,1.06,1.14,1.07,0.89,81.68,1.5,1.19,1.4,1.27,23.91,4.18,3.35,2.98,3.11,3.04,4.01,228.25,12.06,22.13,30.39,15.58,52.89,27.13,29.06,50.8,52.59,29.75,25.63,488.72,63.24,35.99,21.98,46.11,88.94,84.9,116.83,79.14,77.68,118.81,87.84,683.24,41.56,42.76,34.87,17.36,86.9,102.63,82.71,119.94,168.0,153.72,149.43,111.25,0.0,0.0,0.0,0.0,1.71,11.56,0.0,0.0,17.74,51.06,29.18
f2,68.14,0.48,0.58,0.38,0.45,23.74,0.96,1.16,1.31,1.1,1.2,1.1,87.38,1.4,1.47,1.43,1.59,28.68,3.55,3.75,3.97,3.72,4.02,3.86,202.87,16.13,12.51,5.92,7.85,56.24,32.59,26.96,21.54,19.9,24.98,32.81,496.57,43.46,60.49,61.45,48.47,90.38,84.34,95.95,134.98,129.97,102.99,92.17,646.79,81.55,46.23,30.49,26.12,81.04,100.33,123.89,115.25,144.07,180.75,134.89,86.83,0.0,0.0,0.0,0.0,0.56,14.55,0.0,0.0,13.69,32.94,25.09
g,34.44,2.29,3.32,4.09,4.36,10.53,5.92,5.23,6.38,6.99,6.84,6.45,57.89,7.44,7.54,6.54,6.75,11.07,13.79,13.34,13.49,13.68,14.48,14.91,131.59,16.12,20.06,19.4,24.13,27.18,35.95,37.45,38.88,36.79,38.26,37.85,386.9,53.56,43.06,36.61,40.21,56.45,121.28,100.0,85.9,88.94,96.38,119.25,606.06,97.43,97.39,89.72,72.0,69.4,181.9,166.68,171.08,173.91,162.37,173.54,0.14,0.04,0.06,0.04,0.0,0.0,0.04,0.04,0.06,0.14,0.0,0.0
g2,33.57,1.77,2.71,1.65,2.39,9.74,4.69,4.33,5.67,4.09,3.99,4.66,41.31,3.14,3.31,2.84,3.13,11.26,7.84,6.97,7.23,6.58,6.61,7.98,158.67,21.58,19.36,18.1,18.07,29.65,41.9,40.53,37.58,38.18,38.48,43.2,405.51,55.96,57.4,56.95,55.32,58.25,118.78,109.95,115.86,113.33,110.32,103.95,587.88,97.75,91.14,76.55,65.84,63.26,168.03,162.89,161.32,159.29,163.98,161.69,5.34,1.08,1.87,0.73,0.0,0.01,0.36,1.08,2.1,3.3,1.75,0.42
h,56.91,0.45,0.54,0.45,0.49,33.33,0.99,0.82,1.13,0.78,1.02,0.95,68.28,3.58,1.88,1.59,1.77,35.7,7.31,5.09,3.17,3.31,5.18,7.02,184.75,7.99,30.25,24.64,16.69,67.36,20.2,25.33,54.86,54.69,24.61,20.75,378.4,73.42,34.58,31.67,40.44,120.99,69.35,115.42,66.59,65.37,114.1,68.11,611.07,15.91,82.39,114.72,96.12,149.39,161.87,111.77,196.6,195.94,110.76,159.64,17.84,1.59,16.32,1.01,0.0,0.0,0.07,1.59,17.22,16.16,1.63,0.09
h2,56.14,0.49,0.64,0.43,0.48,29.59,0.99,1.04,1.26,0.85,0.93,0.98,64.29,1.53,1.66,1.67,1.63,33.29,3.21,3.37,3.49,3.44,3.58,3.62,173.23,11.41,11.7,17.85,21.52,70.96,30.29,32.04,29.11,28.51,33.28,31.44,385.77,50.6,70.31,52.28,37.09,112.46,65.25,90.25,124.05,116.93,87.13,68.46,597.08,61.35,87.04,94.01,88.18,136.09,147.38,146.13,178.4,177.28,148.4,145.4,12.37,0.16,12.25,2.59,0.0,0.0,0.0,0.16,14.59,12.52,0.1,0.0
i,86.75,3.55,2.15,1.53,1.82,29.17,8.36,5.22,4.16,3.79,5.3,8.82,95.82,4.97,6.27,6.97,5.07,27.56,10.39,10.02,12.73,12.95,9.71,10.46,214.96,12.83,13.1,10.76,24.39,64.1,44.66,38.04,23.08,23.99,37.2,44.25,445.59,49.56,59.7,50.79,26.91,91.94,111.7,74.59,109.8,111.25,75.04,110.75,620.13,140.13,29.62,0.99,0.0,8.95,227.48,140.13,30.21,28.81,139.69,216.72,74.03,29.28,0.0,0.0,0.0,0.09,23.96,29.28,0.0,0.0,26.22,23.76
i2,75.52,0.98,1.14,0.84,0.87,35.2,1.71,2.01,2.52,1.85,1.95,1.67,92.12,3.3,4.04,4.18,2.64,40.13,5.04,6.25,8.82,7.54,5.87,5.21,202.43,27.01,15.44,4.62,6.62,70.4,35.49,33.19,20.36,19.15,33.13,35.3,495.04,34.41,58.82,64.8,53.29,101.75,112.62,87.13,127.27,122.0,88.84,110.91,583.79,136.21,37.72,0.0,0.0,41.21,182.82,136.21,37.72,37.86,140.26,181.64,103.75,18.82,0.0,0.0,0.0,1.8,41.51,18.82,0.0,0.0,18.9,41.54
j,53.99,2.05,3.04,2.63,2.12,25.87,7.95,4.4,6.0,5.14,4.39,5.48,62.35,4.16,3.59,3.76,3.89,28.84,9.35,7.86,7.66,7.49,7.75,10.4,196.23,15.1,16.56,18.9,31.18,73.26,40.98,44.45,35.4,35.39,48.19,52.96,417.95,48.69,56.7,44.2,36.4,96.35,71.92,97.65,114.16,112.35,86.48,100.59,751.48,35.39,0.14,8.38,19.48,41.6,104.57,79.57,88.81,159.94,204.81,178.93,93.35,0.0,0.0,0.0,0.0,0.16,3.43,0.0,0.03,20.84,41.57,27.32
j2,63.57,0.39,0.52,0.73,2.07,32.77,3.54,3.68,4.83,4.35,6.26,6.55,82.09,1.37,1.44,1.31,2.88,41.15,6.32,7.0,7.21,6.77,9.55,12.95,198.86,12.62,11.41,10.62,12.88,85.22,41.3,29.99,25.69,24.62,31.69,55.96,471.45,35.23,60.36,44.12,42.51,102.28,62.04,89.29,131.82,130.48,91.85,107.69,731.42,58.8,0.2,0.0,0.01,20.66,107.46,84.27,48.82,110.03,220.24,201.05,114.88,0.0,0.0,0.0,0.0,0.4,6.96,0.0,0.0,9.47,53.76,44.29
k,36.38,2.1,10.72,1.96,1.82,6.88,2.33,3.32,17.3,4.86,3.19,2.3,56.73,3.94,11.96,3.72,3.89,9.18,9.33,8.81,20.35,7.97,7.68,8.66,175.7,13.42,24.92,10.91,14.46,28.46,37.77,39.74,49.44,27.31,34.55,34.66,421.99,43.55,66.35,43.51,49.89,69.07,103.31,88.2,129.96,102.77,97.85,111.27,601.46,111.32,95.5,65.67,38.47,48.1,150.07,147.6,153.0,167.32,153.3,151.97,20.07,0.49,12.69,8.63,0.01,0.0,0.0,0.49,17.02,23.91,0.47,0.0
k2,35.36,1.76,10.16,0.54,0.66,11.35,1.18,2.41,11.03,9.99,2.14,0.98,49.1,2.02,14.84,2.1,1.88,14.65,4.44,4.04,16.97,16.19,3.87,4.08,154.23,14.07,31.95,12.79,21.17,45.36,34.11,34.7,45.46,43.56,33.44,33.54,416.48,44.44,73.56,47.88,52.07,85.08,95.27,96.16,126.17,120.5,99.16,97.25,581.6,103.92,96.83,70.15,42.88,65.36,137.16,144.24,162.42,166.07,149.35,133.16,24.57,4.91,17.66,2.22,0.0,0.0,0.51,4.91,18.68,18.88,6.04,0.34
l2,78.24,0.59,0.84,0.76,0.7,35.78,0.95,0.89,1.27,1.06,1.08,0.96,95.86,2.54,2.4,2.12,2.36,43.74,3.32,3.77,3.61,3.34,3.47,2.77,230.89,16.06,15.13,9.19,15.74,99.58,38.8,27.03,19.54,22.16,29.41,37.83,417.71,44.16,75.36,74.07,51.35,134.69,58.32,86.52,130.67,131.45,77.01,48.47,392.91,193.98,118.05,57.09,34.28,97.78,150.4,202.41,118.05,57.15,111.25,102.31,42.54,42.7,21.15,0.0,0.0,0.51,27.76,42.7,21.15,0.0,0.0,14.27
m2,33.2,5.21,0.78,0.51,0.68,13.29,1.86,6.01,1.63,1.36,6.03,1.64,43.07,7.5,2.23,2.11,1.92,17.13,4.05,9.5,4.26,4.13,9.88,4.1,158.2,24.23,16.63,21.56,23.09,46.28,31.1,47.96,40.32,36.97,47.02,29.26,403.03,62.85,54.28,54.43,54.94,86.32,91.08,114.41,107.47,108.55,121.28,96.12,541.95,51.75,69.78,91.38,102.73,113.92,150.16,155.44,163.04,155.8,156.44,149.29,17.1,0.01,4.23,11.27,2.67,0.16,0.13,2.37,15.23,14.86,2.67,0.16
n2,26.95,2.58,12.16,0.5,0.47,16.55,1.07,2.99,12.7,0.9,0.92,0.91,37.64,0.45,18.43,1.94,2.05,21.35,2.75,2.07,20.27,3.64,3.84,3.27,150.24,1.41,35.43,15.82,18.14,54.8,24.61,25.19,56.22,30.41,34.86,33.09,429.75,34.35,89.81,47.59,59.62,97.0,101.17,93.22,148.38,109.55,109.06,100.6,529.86,69.34,94.77,89.64,78.75,92.27,119.0,141.2,184.93,160.65,146.89,146.68,19.8,0.99,13.38,6.46,0.02,0.0,0.0,1.04,19.74,19.19,0.68,0.0
o2,27.48,3.25,4.96,3.56,3.07,4.54,5.6,6.33,9.84,7.13,6.07,5.89,36.12,4.66,5.75,4.61,4.38,4.58,9.3,9.04,11.18,9.63,8.86,8.85,156.18,21.96,21.41,21.73,22.51,23.47,43.24,44.74,43.82,42.8,44.67,42.39,362.14,48.86,48.09,48.82,53.38,54.34,103.52,101.25,99.05,96.62,103.12,104.33,627.06,93.88,88.11,79.99,75.33,76.94,175.22,170.49,172.35,170.59,171.15,173.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2,45.86,1.62,1.92,1.68,1.64,18.31,3.38,3.45,4.17,3.59,3.34,3.66,55.98,2.79,2.87,2.42,2.66,22.58,6.33,6.33,6.34,5.49,6.14,7.49,161.31,15.57,15.58,10.35,16.15,53.4,36.52,31.5,29.33,26.1,32.81,40.0,444.02,45.48,59.3,57.93,50.31,101.29,94.1,107.37,121.21,130.25,103.3,103.6,649.81,66.65,45.95,48.68,47.83,84.53,104.2,128.63,156.49,159.7,177.25,136.62,59.42,0.0,0.0,0.0,0.0,0.11,5.7,0.0,2.21,18.8,20.11,12.49
q2,23.65,2.9,5.54,5.44,3.7,4.76,5.13,5.02,8.99,8.52,6.62,5.37,30.17,4.59,6.31,6.86,5.52,5.26,7.29,7.37,10.31,11.54,10.12,8.28,159.27,22.01,21.76,25.8,26.45,22.55,42.81,43.23,45.09,48.04,49.18,42.93,344.62,60.84,56.75,69.9,47.65,57.9,106.56,102.08,96.17,112.11,100.24,112.92,500.64,121.19,112.65,102.56,80.39,53.13,171.07,167.88,163.06,159.11,152.31,150.83,4.65,13.81,16.47,5.59,0.01,0.01,4.57,13.81,16.47,5.59,0.01,0.07
r2,31.77,2.88,8.76,2.06,1.53,12.4,1.6,4.35,10.58,3.73,2.66,2.46,41.4,3.16,11.9,2.81,2.65,15.83,4.03,5.57,15.3,5.63,5.69,6.05,158.81,14.25,29.04,12.41,19.24,42.92,35.43,35.84,47.61,30.81,37.41,37.97,396.09,62.7,71.85,59.35,58.14,87.92,92.7,114.51,122.3,114.55,107.23,113.74,519.78,116.04,100.51,81.81,57.69,69.07,148.66,152.54,158.12,153.84,145.42,132.86,8.89,8.87,22.47,3.79,0.0,0.0,0.44,8.87,22.58,8.0,3.68,0.45
S2,26.46,1.79,2.68,3.38,8.03,10.31,5.3,4.84,6.06,5.87,10.0,7.14,35.3,3.28,3.75,3.99,10.81,11.54,9.41,8.13,8.42,7.48,14.31,11.18,136.41,20.96,16.35,13.34,19.53,19.81,36.35,32.77,31.84,33.15,43.01,40.02,443.13,52.79,50.87,60.04,56.6,53.09,129.33,118.27,111.02,120.16,112.03,112.65,631.47,101.12,80.68,55.97,38.1,49.27,168.99,150.17,146.7,152.7,156.79,169.66,23.62,0.08,0.0,0.0,0.0,0.01,0.49,0.08,0.0,8.28,12.0,2.84
t2,76.37,0.57,0.78,0.47,0.58,28.48,1.16,1.06,1.6,0.94,1.12,1.07,94.47,2.08,2.27,1.83,1.82,33.73,3.7,4.13,4.27,3.75,3.76,3.43,237.11,17.11,15.37,7.77,18.74,73.99,37.69,35.63,23.19,23.23,36.88,37.89,451.56,39.48,65.94,60.55,39.74,90.7,49.17,79.77,129.03,125.75,78.45,52.0,620.45,143.97,62.87,26.13,30.61,71.44,151.43,175.31,90.48,89.73,177.26,153.18,47.78,20.88,0.82,0.0,0.0,0.08,12.9,20.88,0.82,1.05,21.08,12.67
u2,43.54,1.93,2.64,1.74,1.46,23.22,4.17,3.4,4.77,3.55,3.09,3.71,52.29,3.16,3.02,2.41,2.82,27.32,6.97,6.06,5.67,5.17,5.72,6.11,169.82,13.85,12.28,18.74,24.72,62.26,39.81,39.33,32.44,30.83,36.93,38.93,364.47,48.18,54.22,44.0,36.61,77.04,88.35,84.39,98.11,96.67,86.95,88.31,635.87,90.8,91.81,85.22,78.36,80.74,176.31,172.14,179.69,174.46,167.24,176.04,3.48,0.52,2.07,0.0,0.0,0.0,0.0,0.52,2.16,2.77,0.62,0.0
v2,37.74,15.47,0.72,0.54,0.49,0.51,3.4,15.96,1.36,1.07,16.53,3.45,45.33,22.47,1.51,1.55,1.59,1.37,3.22,24.1,3.23,3.25,24.21,2.81,147.66,45.43,16.72,16.89,19.29,27.01,33.13,66.22,34.51,30.22,65.33,31.61,360.15,103.18,41.03,52.54,46.69,36.34,73.27,147.77,96.06,95.98,150.37,71.94,558.0,124.31,108.78,65.07,55.61,60.39,119.57,177.83,172.33,168.0,180.28,126.25,18.72,12.33,6.11,0.02,0.0,0.0,0.82,12.33,6.16,5.49,11.57,0.81
w2,30.7,4.37,0.66,0.47,0.59,0.76,9.2,4.92,1.33,1.05,5.26,8.45,43.35,5.17,1.8,1.9,1.89,1.83,14.66,6.92,3.8,3.59,9.03,12.14,163.88,18.41,18.1,18.9,24.31,23.51,51.06,42.88,40.27,36.59,45.7,44.19,433.45,46.25,52.67,61.77,61.9,64.25,129.05,106.3,111.99,115.56,121.18,117.57,505.9,52.81,65.41,85.05,99.61,99.28,134.8,154.68,157.23,148.13,154.9,139.3,29.25,0.0,3.3,10.74,6.73,6.19,6.98,6.45,14.41,14.35,6.73,6.19
x2,31.66,9.63,7.79,0.46,0.53,0.84,0.95,10.12,8.44,10.59,9.34,1.09,43.49,12.05,10.63,1.78,1.96,1.95,3.91,14.12,13.02,15.17,12.79,3.67,148.1,29.33,33.02,16.99,17.41,25.37,33.87,46.27,51.36,52.93,42.14,33.19,401.44,45.21,63.28,37.75,60.45,53.77,110.52,106.94,104.27,106.4,107.93,111.36,614.07,86.64,105.13,65.02,30.66,46.15,157.57,119.1,177.96,178.92,130.22,157.3,26.88,2.02,20.03,0.06,0.0,0.0,0.03,2.02,20.86,24.44,1.62,0.02
y2,41.44,13.16,2.58,0.43,0.57,7.77,1.5,13.82,3.2,3.4,13.5,1.29,55.81,20.68,1.62,1.73,1.85,9.55,4.23,22.42,3.74,3.78,23.21,3.48,154.99,42.61,17.11,14.77,18.27,32.63,34.45,61.34,32.68,26.57,59.99,31.03,393.45,89.25,36.19,47.0,48.89,46.19,93.09,138.06,88.11,87.03,145.41,94.27,571.5,126.3,75.94,49.94,42.73,53.51,136.94,169.37,127.04,130.16,180.25,144.48,41.73,24.0,2.12,0.0,0.0,0.0,6.63,24.0,2.12,3.43,25.07,6.6
z2,60.16,0.7,0.65,0.51,0.54,4.17,0.76,0.87,1.83,18.32,1.99,1.3,77.21,1.75,1.84,1.69,1.97,3.9,2.65,2.31,2.41,26.2,4.44,4.05,191.07,24.85,27.09,19.54,18.67,21.37,24.08,27.36,33.31,76.11,36.44,35.39,446.45,55.48,53.6,55.67,51.6,41.15,94.12,127.14,87.08,136.18,90.83,93.9,625.64,123.95,84.2,33.82,32.06,44.18,169.26,134.45,148.3,136.04,148.99,178.45,21.17,6.0,13.69,0.12,0.0,0.0,0.0,6.0,14.66,15.04,5.28,0.0
